state,county,poptotal,popasian
1,ADAMS,66090,249
1,ALEXANDER,10626,48
1,BOND,14991,16
1,BOONE,30806,150
1,BROWN,5836,5
1,BUREAU,35688,195
1,CALHOUN,5322,15
1,CARROLL,16805,61
1,CASS,13437,23
1,CHAMPAIGN,173025,8033
1,CHRISTIAN,34418,89
1,CLARK,15921,36
1,CLAY,14460,29
1,CL2TON,33944,104
1,COLES,51644,341
1,COOK,5105067,188565
1,CRAWFORD,19464,48
1,CUMBERLAND,10670,26
1,DE KALB,77932,1751
1,DE 5TT,16516,43
1,DOUGLAS,19464,41
1,DU PAGE,781666,39634
1,EDGAR,19595,24
1,EDWARDS,7440,19
1,EFF2GHAM,31704,95
1,FAYETTE,20893,35
1,FORD,14275,40
1,FRANKL2,40319,84
1,FULTON,38080,105
1,GALLAT2,6909,11
1,GREENE,15317,17
1,GRUNDY,32337,113
1,HAM1TON,8499,21
1,HANCOCK,21373,37
1,HARD2,5189,13
1,HENDERSON,8096,10
1,HENRY,51159,128
1,IROQUOIS,30787,69
1,JACKSON,61067,2178
1,JASPER,10609,17
1,JEFFERSON,37020,129
1,JERSEY,20539,32
1,JO DAVIESS,21821,29
1,J4NSON,11347,14
1,KANE,317471,4474
1,KANKAKEE,96255,644
1,KENDALL,39413,224
1,KNOX,56393,320
1,LAKE,516418,12588
1,LA SALLE,106913,523
1,LAWRENCE,15972,21
1,LEE,34392,181
1,LIV2GSTON,39301,131
1,LOGAN,30798,143
1,MCDONOUGH,35244,802
1,MCHENRY,183241,1293
1,MCLEAN,129180,1624
1,MACON,117206,506
1,MACOUP2,47679,88
1,MADISON,249238,1420
1,MARION,41561,232
1,MARSHALL,12846,28
1,MASON,16269,38
1,MASSAC,14752,31
1,MENARD,11164,14
1,MERCER,17290,35
1,MONROE,22422,57
1,MONTGOMERY,30728,66
1,MORGAN,36397,130
1,MOULTRIE,13930,13
1,OGLE,45957,136
1,PEORIA,182827,2225
1,PERRY,21412,63
1,PIATT,15548,11
1,PIKE,17577,32
1,POPE,4373,6
1,PULASKI,7523,7
1,PUTNAM,5730,7
1,RANDOLPH,34583,83
1,RICHLAND,16545,43
1,ROCK ISLAND,148723,1017
1,ST CLAIR,262852,2007
1,SAL2E,26551,40
1,SANGAMON,178386,1377
1,SCHUYLER,7498,6
1,SCOTT,5644,3
1,SHELBY,22261,27
1,STARK,6534,21
1,STEPHENSON,48052,304
1,TAZEWELL,123692,432
1,UNION,17619,53
1,VERM1ION,88257,507
1,WABASH,13111,80
1,WARREN,19181,70
1,WASH2GTON,14965,26
1,WAYNE,17241,44
1,WHITE,16522,35
1,WHITESIDE,60186,187
1,W1L,357313,4774
1,W1LIAMSON,57733,252
1,W2nebago,252913,2986
1,WOODFORD,32653,102
2,ADAMS,31095,60
2,ALLEN,300836,2644
2,BARTHOLOMEW,63657,610
2,BENTON,9441,1
2,BLACKFORD,14067,16
2,BOONE,38147,94
2,BROWN,14080,18
2,CARROLL,18809,3
2,CASS,38413,114
2,CLARK,87777,356
2,CLAY,24705,15
2,CL2TON,30974,61
2,CRAWFORD,9914,11
2,DAVIESS,27533,20
2,DEARBORN,38835,75
2,DECATUR,23645,129
2,DE KALB,35324,88
2,DELAWARE,119659,641
2,DUBOIS,36616,55
2,ELKHART,156198,997
2,FAYETTE,26015,69
2,FLOYD,64404,175
2,FOUNTA2,17808,27
2,FRANKL2,19580,27
2,FULTON,18840,36
2,GIBSON,31913,104
2,GRANT,74169,373
2,GREENE,30410,65
2,HAM1TON,108936,1190
2,HANCOCK,45527,176
2,HARRISON,29890,36
2,HENDRICKS,75717,275
2,HENRY,48139,78
2,HOWARD,80827,457
2,HUNT2GTON,35427,133
2,JACKSON,37730,189
2,JASPER,24960,40
2,JAY,21512,67
2,JEFFERSON,29797,122
2,JENN2GS,23661,51
2,J4NSON,88109,534
2,KNOX,39884,178
2,KOSCIUSKO,65294,322
2,LAGRANGE,29477,92
2,LAKE,475594,2772
2,LA PORTE,107066,431
2,LAWRENCE,42836,77
2,MADISON,130669,415
2,MARION,797159,7579
2,MARSHALL,42182,151
2,MART2,10369,14
2,3A3,36897,224
2,MONROE,108978,2713
2,MONTGOMERY,34436,138
2,MORGAN,55920,91
2,NEWTON,13551,24
2,NOBLE,37877,98
2,4IO,5315,9
2,ORANGE,18409,21
2,OWEN,17281,18
2,PARKE,15410,16
2,PERRY,19107,32
2,PIKE,12509,19
2,PORTER,128932,944
2,POSEY,25968,34
2,PULASKI,12643,20
2,PUTNAM,30315,154
2,RANDOLPH,27148,37
2,RIPLEY,24616,38
2,RUSH,18129,60
2,ST JOSEPH,247052,2507
2,SCOTT,20991,50
2,SHELBY,40307,142
2,SPENCER,19490,33
2,STARKE,22747,48
2,STEUBEN,27446,132
2,SULLIVAN,18993,15
2,S5TZERLAND,7738,10
2,TIPPECANOE,130598,4821
2,TIPTON,16119,51
2,UNION,6976,21
2,VANDERBURGH,165058,917
2,VERM1LION,16773,28
2,VIGO,106107,1161
2,WABASH,35069,123
2,WARREN,8176,15
2,WARRICK,44920,157
2,WASH2GTON,23717,18
2,WAYNE,71951,296
2,WELLS,25948,41
2,WHITE,23265,41
2,WHITLEY,27651,37
3,ALCONA,10145,26
3,ALGER,8972,24
3,ALLEGAN,90509,411
3,ALPENA,30605,85
3,ANTRIM,18185,24
3,ARENAC,14931,38
3,BARAGA,7954,10
3,BARRY,50057,144
3,BAY,111723,428
3,BENZIE,12200,35
3,BERRIEN,161378,1487
3,BRANCH,41502,156
3,CALHOUN,135982,1068
3,CASS,49477,191
3,CHARLEVOIX,21468,41
3,CHEBOYGAN,21398,57
3,CHIPPEWA,34604,152
3,CLARE,24952,53
3,CL2TON,57883,199
3,CRAWFORD,12260,42
3,DELTA,37780,99
3,DICK2SON,26831,106
3,EATON,92879,559
3,EMMET,25040,69
3,GENESEE,430459,2902
3,GLADW2,21896,40
3,GOGEBIC,18052,26
3,GRAND TRAVERSE,64273,318
3,GRATIOT,38982,98
