trans,drv,cty
1,f,18
2,f,21
2,f,20
1,f,21
1,f,16
2,f,18
1,f,18
2,4,18
1,4,16
2,4,20
1,4,19
1,4,15
2,5,17
1,4,17
2,4,15
1,4,15
1,4,17
1,4,16
1,r,14
3,r,11
1,r,14
1,r,13
1,r,12
2,r,16
1,r,15
2,r,16
1,r,15
3,r,15
1,4,14
1,4,11
1,4,11
1,4,14
1,f,19
1,f,22
1,f,18
1,f,18
1,f,17
1,f,18
1,f,17
1,f,16
1,f,16
1,f,17
1,f,17
1,f,11
1,f,15
3,f,15
1,f,16
1,f,16
2,4,15
1,4,14
1,4,13
2,4,14
1,4,14
1,4,14
1,5,9
2,4,11
1,4,11
1,4,13
1,4,13
1,4,9
3,4,13
1,4,11
1,4,13
1,4,11
2,4,12
1,4,9
1,4,13
1,4,13
2,4,12
2,4,9
1,4,11
2,4,11
1,4,13
1,4,11
1,r,11
1,r,11
1,r,12
1,4,14
2,4,15
1,4,14
1,4,13
1,4,13
1,5,13
1,4,14
2,4,14
2,4,13
1,4,13
1,4,13
1,4,11
1,4,13
2,r,18
1,r,18
2,r,17
1,r,16
1,r,15
2,r,15
2,r,15
1,r,15
2,r,14
2,f,28
1,f,24
2,f,25
2,f,23
1,f,24
2,f,26
1,f,25
1,f,24
2,f,21
1,f,18
2,f,18
1,f,21
2,f,21
1,f,18
2,f,18
1,f,19
1,f,19
2,f,19
2,f,20
1,f,20
1,f,17
2,f,16
2,f,17
1,4,17
1,4,15
1,4,15
1,4,14
1,4,9
1,4,14
1,4,13
1,4,11
1,4,11
1,4,12
1,4,12
1,4,11
1,r,11
1,r,11
1,r,12
1,4,14
1,4,13
1,4,13
1,4,13
2,f,21
1,f,19
1,f,23
2,f,23
2,f,19
1,f,19
1,f,18
2,f,19
1,f,19
1,4,14
2,4,15
1,4,14
1,4,12
1,f,18
1,f,16
1,f,17
1,f,18
1,f,16
2,4,18
1,4,18
2,4,20
2,4,19
1,4,20
1,4,18
1,4,21
2,4,19
2,4,19
1,4,19
1,4,20
1,4,20
2,4,19
2,4,20
2,4,15
1,4,16
1,4,15
2,4,15
1,4,16
1,4,14
2,f,21
1,f,21
2,f,21
1,f,21
1,f,18
2,f,18
1,f,19
1,f,21
2,f,21
2,f,21
1,f,22
1,f,18
2,f,18
1,f,18
1,f,24
1,f,24
2,f,26
2,f,28
1,f,26
1,4,11
1,4,13
2,4,15
1,4,16
2,4,17
2,4,15
1,4,15
2,4,15
1,4,16
2,f,21
1,f,19
2,f,21
1,f,22
2,f,17
2,f,33
2,f,21
1,f,19
1,f,22
2,f,21
1,f,21
2,f,21
1,f,16
2,f,17
2,f,35
1,f,29
2,f,21
1,f,19
2,f,20
1,f,20
2,f,21
1,f,18
1,f,19
2,f,21
1,f,16
2,f,18
1,f,17
